time_us,encoder_value
8868774, 527705
8878784, 528591
8898803, 530364
8908813, 531248
8918823, 532134
8928833, 533020
8938842, 533905
8948852, 534792
8958862, 535680
8968872, 536569
8978881, 537459
8988891, 538348
8998901, 539233
9008911, 540121
9018920, 541009
9028930, 541895
9038940, 542786
9048950, 543677
9058959, 544570
9068969, 545459
9078979, 546345
9088989, 547230
9098999, 548120
9109008, 549009
9119018, 549901
9129028, 550793
9139038, 551686
9149047, 552579
9159057, 553467
9169067, 554358
9179077, 555246
9189086, 556136
9199096, 557029
9209106, 557924
9219116, 558815
9229125, 559710
9239135, 560601
9249145, 561494
9259155, 562384
9269165, 563277
9279174, 564171
9289184, 565067
9299194, 565961
9309204, 566854
9319213, 567747
9329223, 568643
9339233, 569536
9349243, 570432
9359252, 571329
9369262, 572223
9379272, 573118
9389282, 574016
9399291, 574908
9409301, 575805
9419311, 576700
9429321, 577599
9439331, 578497
9449340, 579397
9459350, 580290
9469360, 581186
9479370, 582082
9489379, 582979
9499389, 583876
9509399, 584776
9519409, 585677
9529418, 586578
9539428, 587476
9549438, 588370
9559448, 589267
9569458, 590165
9579467, 591063
9589477, 591966
9599487, 592866
9609497, 593771
9619506, 594672
9629516, 595571
9639526, 596466
9649536, 597365
9659545, 598265
9669555, 599164
9679565, 600066
9689575, 600970
9699584, 601875
9709594, 602777
9719604, 603677
9729614, 604574
9739624, 605475
9749633, 606377
9759643, 607280
9769653, 608184
9779663, 609091
9789672, 609995
9799682, 610899
9809692, 611800
9819702, 612700
9829711, 613601
9839721, 614505
9849731, 615410
9859741, 616316
9869750, 617223
9879760, 618129
9889770, 619033
9899780, 619937
9909790, 620838
9919799, 621742
9929809, 622645
9939819, 623553
9949829, 624461
9959838, 625369
9969848, 626276
9979858, 627182
9989868, 628087
9999877, 628988
10009887, 629893
10019897, 630799
10029907, 631709
10039916, 632616
10049926, 633524
10059936, 634432
10069946, 635339
10079956, 636246
10089965, 637152
10099975, 638060
10109985, 638967
10119995, 639878
10130004, 640787
10140014, 641696
10150024, 642605
10160034, 643515
10170043, 644423
10180053, 645329
10190063, 646237
10200073, 647144
10210083, 648057
10220092, 648967
10230102, 649877
10240112, 650787
10250122, 651698
10260131, 652607
10270141, 653516
